#,Company,Symbol,Portfolio%,Price
231,"Fidelity National Information Services, Inc.",FIS,0.09%,60.04
232,Cummins Inc.,CMI,0.09%,242.35
233,"Rockwell Automation, Inc.",ROK,0.09%,305.3
234,"Ppg Industries, Inc.",PPG,0.09%,148.75
235,Electronic Arts Inc,EA,0.09%,138.09
236,"Kinder Morgan, Inc.",KMI,0.09%,17.57
237,"Xcel Energy, Inc.",XEL,0.09%,62.35
238,Old Dominion Freight Line,ODFL,0.09%,393.08
239,"Verisk Analytics, Inc.",VRSK,0.09%,237.33
240,The Estee Lauder Companies Inc. Class A,EL,0.09%,142.88
241,"Dupont De Nemours, Inc.",DD,0.08%,73.59
242,Baker Hughes Company,BKR,0.08%,34.07
243,"Cencora, Inc.",COR,0.08%,200.07
244,Republic Services Inc.,RSG,0.08%,163.57
245,"Corteva, Inc.",CTVA,0.08%,47.18
246,"Global Payments, Inc.",GPN,0.08%,127.38
247,"Extra Space Storage, Inc.",EXR,0.08%,151.61
248,Keurig Dr Pepper Inc.,KDP,0.08%,32.4
249,Halliburton Company,HAL,0.08%,36.21
250,Vici Properties Inc.,VICI,0.08%,31.23
251,"Consolidated Edison, Inc.",ED,0.08%,90
252,Public Service Enterprise Group Incorporated,PEG,0.08%,61.7
253,"Quanta Services, Inc.",PWR,0.08%,215
254,Martin Marietta Materials,MLM,0.08%,490.39
255,Ingersoll Rand Inc.,IR,0.08%,74.82
256,"Monolithic Power Systems, Inc.",MPWR,0.08%,634.33
257,"Equifax, Incorporated",EFX,0.08%,249.25
258,Vulcan Materials Company,VMC,0.08%,222.7
259,Ge Healthcare Technologies Inc.,GEHC,0.07%,75.06
260,Cdw Corporation,CDW,0.07%,223.69
261,The Kraft Heinz Company,KHC,0.07%,36.71
262,Devon Energy Corporation,DVN,0.07%,45.24
263,Dollar General Corp.,DG,0.07%,126.08
264,Royal Caribbean Group,RCL,0.07%,121.1
265,The Kroger Co.,KR,0.07%,45.53
266,"Moderna, Inc.",MRNA,0.07%,85.42
267,"Keysight Technologies, Inc.",KEYS,0.07%,158.75
268,"Cbre Group, Inc.",CBRE,0.07%,91.48
269,Fair Isaac Corporation,FICO,0.07%,"1,148.77"
270,The Hershey Company,HSY,0.07%,182.26
271,"Warner Bros. Discovery, Inc. Series a",WBD,0.07%,11.97
272,Arch Capital Group Ltd,ACGL,0.07%,74.65
273,"Diamondback Energy, Inc.",FANG,0.07%,155.63
274,"Delta Air Lines, Inc.",DAL,0.07%,41.18
275,Sba Communications Corp,SBAC,0.07%,246.53
276,Dollar Tree Inc.,DLTR,0.07%,130.4
277,Discover Financial Services,DFS,0.07%,106.85
278,Edison International,EIX,0.07%,69.76
279,"Avalonbay Communities, Inc.",AVB,0.07%,189.84
280,Hp Inc.,HPQ,0.07%,30.26
281,Mettler-Toledo International,MTD,0.07%,"1,185.03"
282,"Wec Energy Group, Inc.",WEC,0.07%,82.38
283,Xylem Inc,XYL,0.07%,110.71
